Uniprot ID,Gene Name,Log2 Ratio L/H NormalizedWTday01,Log2 Ratio L/H NormalizedWTday06,Log2 Ratio L/H NormalizedWTday12,Log2 Ratio L/H NormalizedWTday17,Log2 Ratio L/H NormalizedWTday22,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids)
Q19519,vps-36,-0.153805336,-0.296310561,-0.190298792,-0.391217808,-0.310456462,4.91E-58,37.1,383
Q19520,,-1.887018289,0.048889701,0.096900012,0.476658856,0.418986265,4.76E-270,36.8,1101
Q19523,acy-1,NA,NA,NA,NA,NA,1.37E-11,2.8,1253
Q19527,,0.346407958,NA,NA,NA,NA,6.38E-07,7.1,366
Q19529,F17E5.2,NA,NA,0.083997325,NA,-0.009633819,1.88E-29,10.4,531
Q2XN01;Q19531,,-2.295958068,-0.332736572,0.758989681,1.331771928,1.629724103,2.49E-13,12,209
Q19536,,-2.221289369,0.374131045,1.002888279,0.789611136,1.254495885,1.84E-134,37.6,266
Q19537,rpa-1,-1.670885646,-0.223298973,0.124046981,0.525330341,0.664105192,0,53.7,655
Q19541,,NA,NA,NA,NA,NA,5.50E-25,31.4,169
Q19545,tag-184,0.52172189,0.035830591,-0.340391357,-0.810977717,-1.055473336,2.07E-104,21.1,1490
Q19546,wrn-1,NA,NA,NA,NA,NA,1.07E-15,3.4,1056
Q19554,abcf-1,0.165434396,0.260462931,0.1194947,0.389413317,0.322072372,2.49E-251,42.4,622
Q19555,scc-3,-0.616639997,-0.430178204,-0.196607044,-0.012640181,0.10102551,1.04E-211,24.4,1096
Q19564;Q19564-2,F18E3.7,0.049576379,0.552875767,0.022405008,-0.686612577,-0.76366652,1.88E-120,39.2,334
Q19568,,NA,NA,NA,NA,NA,5.73E-08,4,428
Q19572,gpa-12,NA,-0.10701825,NA,-0.28475101,-0.019773069,1.81E-11,9.6,355
Q19573,pes-8,NA,NA,NA,NA,NA,7.80E-36,6.7,490
Q19577,,0.082636991,-0.389566812,-0.551294521,0.219622703,-0.193330195,1.86E-16,16.3,203
Q19579;Q19581,pab-2,0.097116037,-0.136847604,-0.260627908,-0.406971971,-0.505586103,0,44.4,692
Q19580,,NA,NA,NA,NA,NA,5.15E-55,27.7,459
Q9U3I6;Q19584,ufd-1,-0.340505301,-0.070114503,0.00096693,0.313011,0.566249999,2.38E-79,31.2,336
Q19589;A3FPI8;Q19590,,NA,-0.830985412,-0.442014566,-0.29372361,0.72142045,2.04E-42,25,540
Q19591,,0.226628134,0.17369355,0.788589017,0.179269599,0.154795004,0,29.7,266
Q19601,glb-13,NA,NA,NA,NA,NA,9.46E-08,11,282
Q19605,,NA,NA,NA,NA,NA,2.40E-05,7,243
Q19625,mrp-6,0.247354156,0.528177841,NA,NA,NA,4.54E-11,1.8,1396
Q19626,vha-12,0.05644619,-0.029417547,0.275297347,0.063740862,-0.15263774,0,37.9,491
Q8MQ69;Q19632;Q8MQ70,hpk-1,NA,NA,NA,NA,NA,2.37E-30,6.1,740
Q19641,exc-9,NA,NA,NA,NA,NA,8.93E-05,15.3,85
Q19642,czw-1,-0.950767001,0.196161291,0.322974428,0.465699297,0.451405551,0,58.7,778
Q19643,,-0.547647242,NA,-0.256044474,NA,-0.227987459,7.31E-27,11.2,1116
Q19647,,NA,NA,NA,NA,NA,2.15E-26,18.1,376
Q19655,,-0.499067738,-0.183073576,0.772973673,0.848271045,0.742434142,2.46E-221,41,549
Q19660,,-0.497433534,-0.762901548,0.263282571,-0.640898521,-0.147567207,1.85E-97,51.8,226
Q19661,,3.090618579,1.792157113,-1.627840265,-1.669435018,-2.682528353,1.54E-297,65.6,317
Q19663,,0.463628747,-0.085424656,-0.153416242,-0.180911663,-0.071625394,0,50.7,2588
Q58AA4;Q19672,rde-2,-0.017779413,NA,NA,NA,NA,1.46E-20,16.3,570
Q19680,,-2.593377676,0.449907077,0.657695586,0.783116813,0.710779327,0,50.5,550
Q19681,otub-3,NA,NA,NA,NA,NA,5.89E-43,20.4,309
Q19683,F21D5.5,-0.515106871,-0.163498732,0.001790052,0.07751288,0.185195307,1.34E-88,52.3,407
Q19684,,NA,-0.051580921,0.119181279,0.130254909,0.349235441,4.01E-30,36.9,290
Q19685,mrps-33,0.564798144,-0.01306915,-0.324234562,-0.300065137,-0.352080514,1.57E-15,38.9,126
Q19687;F5GU88,,0.760357558,1.010831921,0.506721584,0.305413946,0.639287383,1.59E-73,20.2,743
Q19694,ttr-35,-0.650305029,-0.23780843,0.665225803,1.215043806,1.298459814,6.85E-88,45.5,145
Q19698,ilys-5,3.27900365,2.331045825,1.899748927,1.488592686,1.439363296,9.80E-262,72.7,139
Q19699,,-3.174438379,1.200216389,1.422713787,1.131724137,1.206162367,1.55E-237,33,710
Q19705,evl-20,NA,0.347123485,NA,NA,1.549071189,2.18E-35,21.7,184
Q19706,eif-3.G,0.270712627,-0.077106244,-0.075874867,-0.121811151,-0.109026176,3.04E-53,17.2,256
Q19707;Q03755,cut-3,NA,NA,NA,NA,NA,2.80E-161,27.2,389
Q19708,,NA,NA,-2.924556002,NA,NA,2.02E-14,17.1,164
Q19713,frs-2,0.110744533,0.17442601,0.04175865,0.18590081,0.161024037,0,58.7,591
Q19714,,0.185835167,NA,0.016818488,-0.258820397,-0.036468167,1.25E-08,11.3,186
Q19720-2;Q19720,ceh-38,NA,-0.675906238,NA,0.011544345,NA,2.71E-18,5.9,632
Q19722,nrs-1,-0.333538229,0.199255376,0.200979026,0.344959644,0.42573376,0,46.1,545
Q19724,nduf-6,0.162847935,-0.091936738,-0.048375705,-0.496820231,-0.676267408,9.34E-86,67.1,140
Q19727;E3W737,prpf-4,-0.374622206,-0.008630305,0.109872428,0.042932328,0.234821728,8.04E-48,17.7,775
Q19731,ekl-1,-0.043484498,0.209478162,0.204781647,0.408052556,0.554781825,5.67E-118,25.2,606
Q19733,pgp-12,NA,NA,0.936938908,NA,NA,1.39E-22,2.9,1318
Q19734,pgp-13,NA,NA,NA,NA,NA,1.27E-11,3.2,1324
Q19743,hil-3,NA,-1.554146767,-1.574828124,-0.888071052,-1.784420225,3.44E-34,26.9,208
Q19746,inx-3,-2.185359135,-0.962808111,-1.227001675,-0.697506959,-0.55178669,1.32E-64,27.1,420
Q19748,,NA,NA,NA,NA,NA,6.12E-17,9.4,556
Q19749,F23B12.5,-0.089498151,-0.009777122,0.044806248,-0.338681125,-0.211759833,0,55.2,507
Q19752,fntb-1,-0.595790071,0.033879664,0.190684346,0.367936569,0.252294662,2.43E-212,49.6,401
Q19753,F23B12.7,0.538869625,0.107321435,-0.31741985,-0.488309336,-0.790355014,2.87E-247,41.8,953
Q19759,,NA,NA,NA,NA,NA,1.01E-05,9.9,203
Q19760,jmjd-3.2,NA,NA,NA,NA,NA,1.58E-36,6.7,867
Q19764,,NA,NA,NA,NA,NA,8.92E-15,7.1,802
Q19766,tomm-20,NA,NA,0.057226537,NA,NA,5.87E-07,9,188
Q19767,snb-2,NA,NA,NA,NA,NA,3.34E-45,36,114
Q19774,,NA,NA,NA,NA,NA,7.65E-37,13.7,277
Q19775;Q7JLJ3;A8WHR6,ppm-1,-0.46100461,-0.159629186,-0.301587647,-0.012211084,-0.124195772,1.33E-264,42.9,468
Q19780,,-1.301763217,0.633188227,1.369892791,1.748165799,2.000519464,0,46.2,624
Q19781,,0.096622312,0.146674973,-0.1696685,NA,-0.845429833,4.13E-112,30.6,327
Q19782,ifd-2,-1.086512047,-1.009060468,-0.646623508,-0.526269172,-0.235359447,1.59E-291,51.2,443
Q19788,,0.279108684,0.163170989,NA,NA,-0.234869152,1.80E-30,20.5,390
Q19790;Q95ZV0;D3YT33;Q7JLY3;Q7JLY2,dur-1,-0.13251104,-0.938248148,-0.178873958,0.684248301,0.982135088,0,46.7,780
Q19804,,NA,NA,NA,NA,NA,2.70E-45,21,162
Q19805,,NA,NA,-0.333423734,0.400358469,NA,5.88E-16,18.5,276
Q19816,,NA,NA,NA,NA,NA,3.12E-06,3,465
Q19818,nhl-2,-0.072586047,-0.230080016,0.56079178,0.145302133,0.313835674,8.17E-175,28,1032
Q19819,tag-340,-0.222804561,NA,NA,NA,0.132340711,5.27E-56,8.3,447
Q19821,rom-1,NA,NA,NA,NA,NA,1.08E-07,7.9,356
Q19822,,0.338724689,NA,-0.293605911,-0.185486004,NA,3.41E-51,26,235
Q19823;Q20111,,NA,NA,NA,NA,NA,2.28E-15,28.2,181
Q19824,cee-1,-0.48326116,-0.453754607,-0.172743517,0.116379184,0.056911346,1.45E-268,54.4,362
Q19825;Q65ZK0;A5HU89,rrt-1;rars-1,0.034588787,0.235467001,0.331826401,0.360545545,0.367322303,0,49.9,713
Q19826,rpb-8,0.180070275,0.102991974,-0.258458623,-0.396378727,-0.291839273,3.66E-40,57.4,148
Q19830,,1.167960667,NA,NA,NA,NA,2.80E-51,14.9,201
Q19833,,NA,NA,NA,0.450104155,NA,3.60E-14,5.1,1021
Q19834,aat-1,0.12219294,-0.673013615,NA,-0.232783534,NA,9.11E-12,5.3,493
Q19837,spp-18,NA,NA,NA,NA,NA,4.88E-232,26.2,126
Q19842,pcca-1,-0.656633655,-0.273575566,0.214323911,-0.082838815,-0.046281503,0,67.3,724
Q19843,dhs-29,NA,NA,NA,NA,NA,8.59E-17,11.7,427
Q19848,vrk-1,-0.809579079,-0.245860702,0.059675361,0.486549681,0.672542566,6.95E-157,37,610
Q19853,,0.400339428,0.43296085,1.177065952,0.50967633,0.400872674,0,15.9,2229
Q19858,,NA,NA,NA,NA,NA,4.37E-12,15.5,349
Q19864,cpf-1,-0.488103633,-0.21424917,-0.339707507,-0.060324133,0.100252046,7.56E-52,25.1,430
Q19866,suf-1,-0.448372395,-0.404140166,-0.441377239,-0.140909507,-0.007769594,5.60E-93,26.9,735
Q19869;Q19869-2;Q19869-3,rpl-26,0.170702463,0.096252129,-0.136191386,-0.303108551,-0.333194716,3.61E-108,83.1,142
Q19872,,NA,NA,NA,2.556563087,NA,3.97E-35,45.1,268
Q19873,wdr-46,0.703665943,-0.015354834,-0.332851122,-0.654068863,-0.802234584,7.25E-213,38.3,580
Q19874,thn-1,NA,NA,NA,NA,NA,1.04E-158,42.1,233
Q19876,thn-2,NA,-0.642840175,1.860609092,1.05442226,1.061029255,2.77E-146,37.3,233
Q19877,rps-23,0.41623062,0.136838595,-0.05699963,0.456603104,-0.174278571,1.70E-194,68.5,143
Q19878,acs-20,NA,NA,NA,NA,NA,8.42E-12,4.7,684
Q19891,,2.20217353,2.459734616,-0.643394453,NA,NA,1.29E-59,27.6,294
Q19895,F28H7.8,NA,NA,NA,NA,NA,3.67E-19,6.8,410
Q19901,hum-1,-0.860287463,-0.539431811,-0.013783815,-0.051859299,0.101752944,2.60E-151,29.2,1100
Q19905,sqv-4,-0.927668941,0.436431822,0.315378721,0.457890562,0.526472823,9.06E-300,48.2,481
Q19906,tut-2,0.148800661,-0.04851521,-0.320311371,0.092632432,-0.188654118,1.75E-51,32.1,349
Q19933,,NA,NA,NA,NA,NA,0.0001579,2.8,457
Q19948-2;Q19948,F32A5.4,NA,NA,NA,NA,1.83820259,1.87E-115,19.5,174
Q19952,lsm-4,-0.623866862,-0.199499604,-0.415542354,-0.018064389,0.04783047,4.02E-58,59.3,123
Q5DX44;Q19953,ada-2,NA,NA,NA,NA,NA,5.88E-09,6,583
Q19954;Q19954-3;Q19954-2,vps-41,-0.623117702,-0.035201596,NA,0.136791008,-0.162854528,1.63E-21,8.9,901
Q19955,ags-3,NA,-0.055334502,-0.011066201,0.035697489,NA,4.66E-18,8.5,579
Q19965,,-0.048933645,NA,0.085910075,NA,-0.154194325,3.88E-30,29.9,291
Q19966,,0.252535258,-0.222557291,-0.349931373,-0.375512141,-0.443500567,2.67E-41,55.1,225
Q19967,emo-1,0.483419992,0.241065808,-0.266756562,-0.535555333,-0.646439186,3.78E-73,52.9,68
Q19969,ima-3,0.162896389,0.220681438,0.073393259,0.117098756,0.194063738,5.31E-66,12.6,514
Q19970,clec-180,1.89094707,NA,NA,NA,NA,4.05E-94,16.1,876
Q19971,,NA,NA,NA,NA,NA,1.62E-08,5.1,549
Q19972,cec-4,-0.781905211,-1.105745116,-0.115299644,-0.396378727,-0.728747725,1.43E-95,52.6,270
Q19973,cec-5,-0.59645814,-0.806035283,-0.828306614,-0.409798228,-0.11196609,2.19E-257,39.6,374
Q19974,nol-10,0.595685408,-0.09963185,-0.282261867,-0.694211608,-0.667574266,1.30E-117,33.2,754
Q19978,F32G8.4,-0.591200673,-0.181547856,0.627827948,0.310521912,0.25427217,2.88E-71,22,405
Q19980,cat-4,0.639714393,1.392894616,-0.627980303,NA,NA,3.73E-95,39.9,223
Q19981-2;Q19981,tag-53,NA,NA,NA,NA,NA,4.37E-26,2.3,1292
Q19983,tsp-8,0.278058687,NA,-0.014355293,-0.283803271,0.179351281,1.88E-48,30.9,282
Q19987,,-0.546165985,-0.236829335,0.080637033,0.251418547,NA,9.95E-86,31.5,403
Q19988,lrr-1,NA,NA,NA,NA,NA,7.62E-09,5.7,453
Q19989,,0.245676862,0.094710722,0.265778134,0.466376852,0.078411334,5.74E-97,20.9,928
Q19991,,-0.775682702,NA,NA,NA,NA,1.10E-19,4,1378
Q1ENI8,pxn-1,0.989907664,0.213872067,-0.131062617,-0.070801468,-0.488103633,7.75E-185,20.9,1285
Q1EPL7,,NA,NA,NA,NA,NA,4.63E-14,9.3,280
Q1HAZ8;Q1HAZ9;Q93763,,0.106793135,NA,-0.254110242,-0.676538227,-0.576183494,1.86E-08,3.5,830
Q1HB04;Q22317,,-2.781107876,-0.19105724,0.6845497,1.043318811,1.090249933,0,46.2,976
Q1HB05,cyp-25a3,0.021775077,NA,NA,-0.601030869,1.468132004,2.34E-65,21.5,502
Q1NZ11;Q9XU85,,0.303774662,0.044225965,0.626936501,1.057511768,0.643653325,2.20E-108,74,73
Q1NZ17;A5Z2T8,,NA,NA,NA,NA,NA,2.87E-26,21.7,217
Q1NZ26,F13E9.13,0.356254613,0.05613117,0.406521926,0.13433452,NA,1.42E-46,22,277
Q1NZ27;Q22147,,NA,NA,NA,NA,NA,1.12E-06,5.2,269
Q1RS87,,-0.987175316,-0.544979883,0.190618485,0.386902164,0.11303632,5.51E-33,10.8,1307
Q1W0R0;Q8WQC0-2;Q8WQC0-3;Q8WQC0,rgs-7,NA,NA,-0.39330636,NA,NA,1.08E-13,17.6,324
Q1W0R5;Q1W0R6;Q1W0R7,,-0.451751815,-0.33845294,-0.133695033,-0.557679659,-0.013497992,3.96E-32,6.2,1824
Q1W0S0,,NA,NA,NA,NA,NA,4.70E-08,7.1,294
Q1XFY4,,-1.232169543,0.078731257,-0.110897723,0.078655078,0.658970675,1.26E-73,53.1,130
Q1XFY9,rps-24,0.069618413,-0.070114503,-0.072723231,-0.11209958,-0.222062625,7.35E-145,50.4,131
Q1XFZ4,,NA,NA,NA,NA,NA,1.90E-05,5,400
Q9XUW6;Q1ZXS6,ric-7,NA,NA,NA,NA,NA,0.00019776,2.7,694
Q1ZXU2,add-2,NA,NA,NA,NA,NA,5.34E-144,27.6,294
Q1ZXU7,,NA,0.252621194,NA,NA,NA,1.78E-55,32.5,80
Q1ZXU8;Q21812,acl-5,0.157061383,-0.048375705,-0.4379734,-0.796763858,NA,6.27E-55,28.8,455
Q1ZXU9;Q1ZXV0,,NA,NA,NA,NA,NA,8.30E-09,15.3,176
Q20005;Q8WT52,erp-1,-0.323543009,-0.271545198,-0.274410769,0.056206169,0.111601578,2.14E-59,20.8,366
Q20007,,0.547193737,0.362454668,-0.015497569,NA,NA,7.67E-10,3.9,1190
Q20012,dhs-20,0.081888591,-0.784420225,0.544855615,-0.124460486,-0.614945367,3.66E-88,45,342
Q20014,tag-290,-1.362610154,-0.307545102,-0.15263774,0.075976148,0.157334875,5.66E-68,37.4,219
Q20022,,NA,NA,1.57037868,NA,NA,9.06E-13,15.1,305
Q20024,syx-3,-0.152897287,NA,0.495816931,0.449059945,0.603423987,5.95E-70,23.5,306
Q20025,pfn-2,-0.056722242,0.022273139,0.311255657,0.50704959,0.347398782,2.94E-79,59.5,131
Q20026-2;Q20026;Q20026-3,chtl-1,NA,0.179302271,NA,NA,NA,3.09E-08,4.1,730
Q20027,F35C8.5,0.184326209,-0.196732928,-1.228418528,-2.54998946,NA,4.58E-13,10.3,300
Q20033,,NA,NA,NA,NA,NA,1.68E-43,24.1,133
Q20034,,0.094864789,-0.134615244,0.226493093,0.29056819,0.246036118,1.72E-110,67.8,174
Q20040;Q8MQ61,pqn-35,NA,NA,0.179040917,NA,NA,3.44E-14,7,503
Q20043,,NA,NA,NA,NA,NA,8.85E-05,7,256
Q20048,mlcd-1,NA,-0.159629186,0.129071137,0.192875928,0.241628592,5.01E-92,35.3,442
Q20049,idhg-1,0.278286122,-0.101112158,-0.193330195,-0.239886801,-0.33571191,4.26E-63,21.5,396
Q20051,,0.211848875,-0.404685176,-0.252900029,0.041506212,NA,1.38E-24,36.5,115
Q20053,asb-1,-0.843501526,0.403293799,0.681353437,0.75097949,0.833078929,1.15E-237,60.1,301
Q20057,,-1.331303934,0.693434435,0.97140256,0.76221604,0.81466624,2.64E-38,40.7,113
Q20058,,-0.468218362,0.218010884,0.282105373,0.514923584,0.393500918,7.94E-178,40.5,491
Q20059,F35G12.4,NA,-0.198242682,0.078517967,0.358786939,0.449256908,7.22E-176,46.7,683
Q20059-2;Q20059-3,F35G12.4,NA,NA,NA,NA,NA,2.25E-156,46.5,680
Q20060,smc-4,-1.683022665,-0.147176427,0.493926205,0.749499193,0.782818926,0,48.2,1549
Q20062,,-0.368600747,-0.052137623,0.008783845,0.063891657,-0.065158675,2.14E-192,65.3,199
Q20065,phy-2,0.916834297,-0.772223506,-1.457961944,-1.922920918,-2.200096258,9.56E-124,31.9,539
Q20068,,NA,-0.266876472,0.596426862,NA,NA,1.96E-18,12.2,493
Q20069,nprl-3,NA,NA,NA,NA,NA,1.63E-19,12.1,511
Q20070,,NA,0.280983076,NA,NA,0.358453971,1.01E-10,34.8,158
Q20075,,NA,NA,0.492849802,NA,NA,1.27E-16,28,168
Q20077,pifk-1,NA,NA,NA,NA,NA,1.16E-26,17.3,666
Q20081,,NA,NA,NA,NA,NA,4.64E-13,6.5,371
Q20084,exc-7,NA,NA,NA,NA,NA,4.11E-07,7,456
Q20086,ugt-58,0.786522065,1.218732622,0.914249041,0.268451785,0.229483836,5.30E-103,12.4,533
Q20089,ttr-20,-1.632175135,NA,0.46923006,0.786920283,0.112568313,2.55E-07,17.4,144
Q20100,,-0.281549893,0.133368919,0.001111303,0.713047902,0.022976578,4.00E-35,31.2,224
Q20107;F1LIM6,fkb-1,0.080118413,-0.02644598,-0.125122061,-0.117695043,-0.158595552,8.50E-38,74.1,139
Q20117,gcs-1,-0.14182513,0.109436573,0.330828065,0.399216449,0.329540325,0,43.3,654
Q20118,,NA,0.680127767,-0.823260228,NA,NA,0.00010966,5.8,226
Q20121,acs-4,-0.749148067,0.050353017,0.316132902,0.494617151,0.682186563,0,49.8,731
Q20122,,0.153735367,-0.09895848,0.227708919,-0.12498977,-0.130535557,4.14E-24,48.3,145
Q20123,epg-4,NA,NA,NA,NA,NA,1.20E-48,10.8,315
Q20124,,0.017329443,NA,NA,NA,NA,2.73E-54,26.6,323
Q20128;Q8MNS7,exos-9,0.247097301,0.010352323,-0.067638717,0.127793752,-0.031959741,3.22E-142,35.7,434
Q20129,mus-101,-0.894992331,0.163591068,NA,NA,NA,1.04E-53,13.2,1182
Q20135,col-81,1.369184518,NA,NA,NA,NA,1.10E-39,10.1,306
Q20136,ram-2,1.412807855,NA,NA,NA,NA,2.56E-17,8.8,306
Q20140,F38B2.4,-0.387913924,-0.281431197,-0.250961574,-0.367482898,-0.682393511,1.48E-278,74.8,210
Q20143,,-0.688404188,-0.561985922,-1.634546804,-1.547104291,-3.768713657,1.51E-298,36.7,975
Q20146,,NA,NA,NA,NA,NA,0.00034642,3.8,391
Q20157,F38E1.9,-0.115965432,NA,NA,-0.243425362,NA,3.63E-09,9.2,238
Q20164,hsp-12.3,-3.307253642,-1.313594147,-0.617016311,-0.361543798,-0.413485768,8.00E-70,74.3,109
Q20166,cpin-1,-0.423416817,0.011529802,0.515232841,NA,-0.132247798,1.33E-35,22.9,424
Q20168,F38E11.5,0.005449239,-0.116364757,0.028130928,0.077634672,0.084853924,0,49.5,1000
Q20170,wrt-3,NA,NA,NA,NA,NA,2.68E-08,16.2,179
Q20173,,-0.157690514,-0.370722275,-0.202135581,-0.196103398,-0.235481995,5.98E-139,48.6,333
Q20177,,NA,0.364366322,0.454683956,0.712078595,NA,1.37E-37,12.5,569
Q20186,,NA,NA,NA,NA,NA,0.00033757,7.3,193
Q20199,,-0.45143533,0.09381746,0.186130583,0.086246981,-0.068464451,1.65E-176,62.9,210
Q20202,,1.527533024,-1.893944608,0.006187987,0.458326577,0.622509722,5.39E-36,24.3,284
Q20203,csq-1,0.186672335,0.067485222,0.461958547,0.025030237,0.02288863,1.26E-232,32.4,417
Q20206,rps-11,0.1318664,0.212350228,-0.069564695,-0.179256247,-0.111565545,3.39E-180,82.6,155
Q20208,,NA,NA,NA,NA,NA,0.00082677,10.1,119
Q20219,,0.085603865,0.363326662,0.450458965,-0.014069583,0,0,14.5,2214
Q20220,,-0.720803782,NA,-0.265796925,-0.047957107,-0.680054248,4.62E-148,47.3,245
Q20221,tba-9,-0.445938537,NA,NA,NA,NA,4.40E-31,20.4,456
Q20223,lbp-1,-1.800537563,-0.658554261,0.140666491,0.864438864,1.2344992,1.73E-213,59.7,159
Q20224,lbp-2,-2.026870865,-0.253505262,1.09480316,2.117975241,2.324671823,0,74.5,161
Q20226,,NA,NA,NA,NA,NA,3.50E-10,12.3,195
Q20228,rps-9,0.100994563,0.084899827,-0.034497464,-0.059216817,-0.093424959,4.79E-77,80.4,189
Q20230,F40F8.1,-0.258699816,-0.623211368,-0.537146944,-0.594739622,-0.381947801,1.01E-81,52.9,191
Q20234,,NA,NA,NA,NA,NA,0.000504,5.8,275
Q86G95;Q20237,drap-1,NA,NA,NA,NA,NA,1.58E-28,24.9,305
Q20246,,NA,NA,NA,NA,1.604805554,8.92E-58,42.4,264
Q20259;Q27GU4,,NA,NA,NA,NA,NA,0.00042472,5.1,316
Q20263,F41C3.4,NA,NA,NA,NA,NA,0.00037933,7.1,141
Q20264,acs-11,-1.429910498,-0.26951197,0.604410685,0.534224001,0.518101782,3.04E-218,47.7,505
Q20273,,-0.576086724,-0.25386828,-0.222680931,-0.30987466,0.369762294,2.40E-43,12.2,516
Q20282,col-139,2.431131229,NA,NA,NA,NA,3.09E-211,12.3,310
Q20287,,NA,0.104076998,0.101226678,0.199338197,0.750493979,7.68E-92,21.6,296
Q20298,,0.153639075,-0.64745267,-0.000865357,-0.376401527,NA,3.25E-40,19.7,575
Q20300,elo-5,0.316599974,0.526161147,-1.501872207,-1.921131611,-0.10634832,7.04E-43,19.2,286
Q20303,elo-6,0.295375882,0.392496869,-1.176578094,-1.477055566,NA,1.11E-147,13.5,274
Q20306,abcf-3,0.239157391,0.198228794,0.287465846,0.206545211,0.132071916,0,58.7,712
Q20308,anmt-2,0.745430143,NA,NA,NA,NA,6.29E-65,27.4,274
Q20310,,0.557263471,0.373775823,0.030766607,0.231701323,0.22872289,0,55.9,272
Q20311,,1.200050651,2.550803142,1.542122082,NA,1.089298034,2.99E-146,59.7,176
Q20312,,2.899910438,4.655553243,2.275018012,1.10833196,0.591570728,2.25E-157,35.3,187
Q20322,,NA,NA,2.434168893,NA,2.395397255,2.08E-23,32.4,250
Q20329,,-0.429856951,-0.346985247,-0.05699963,-0.011495639,0.041001466,3.38E-76,30.8,552
Q20330,ttm-4,-0.127501219,-0.60539951,-0.951363988,-1.478039898,-1.6393711,1.06E-295,34,1292
Q20334,tni-1,1.754869469,-0.737513714,NA,NA,NA,1.06E-205,50,250
Q20340,,-0.397474417,0.436705174,-0.620211026,-0.581881464,NA,1.71E-31,47.2,178
Q20352;Q8MNS6,alh-11,-0.0223323,-0.314754522,-0.517930742,-0.861399611,-0.743988823,6.53E-187,39.9,687
Q20363,sip-1,-4.612588407,0.209378077,1.143436527,1.562942752,1.885393101,0,67.3,159
Q20365,rab-33,0.23953206,-0.258338011,-0.369382725,-0.277151611,-0.122076304,2.74E-86,21.5,307
Q9U3F2;Q20371,dna-2,NA,-0.023894043,0.543277945,-0.400100683,-0.356707253,2.87E-42,5.7,1069
Q20374,patr-1,-0.430285273,-0.504366151,-0.549225575,-0.573665363,-0.427069755,5.32E-122,43.8,833
Q20375;Q95ZT7,sptl-2,0.343677541,-0.055195654,NA,-1.213005039,NA,1.27E-101,22.8,558
Q20376,ech-3,NA,NA,NA,NA,0.090418884,2.40E-16,14.7,258
Q20377,,-0.122606463,NA,NA,NA,NA,1.29E-08,8.7,413
Q20384;Q8MQ51,nucb-1,0.688427135,0.035741855,-0.250233981,-0.09396575,0.004580607,8.61E-168,40,453
Q20390,ppt-1,-1.516670768,-1.080725874,-0.043904394,-0.156396617,-0.15263774,2.14E-81,26.5,298
Q20392,,-0.948301812,-0.218843151,-0.048236186,-0.006764782,0.273517513,5.42E-16,3.8,342
Q20398,magu-4,NA,-0.324119326,-0.491288732,NA,NA,1.40E-25,11.3,1034
Q20402,egg-3,NA,1.323227105,1.282052746,1.141621075,NA,3.65E-22,9.9,555
Q20412,F44G4.2,0.004218832,-0.23572706,-0.181166174,-0.443712728,-0.387141928,5.07E-55,22.5,160
Q20413,,NA,NA,NA,NA,NA,2.41E-09,13.8,109
Q52GY5;Q20420,,NA,NA,1.491551064,2.401787267,1.650408257,1.03E-75,29.6,189
Q20429,brf-1,-0.387693396,0.019550548,NA,NA,-0.263875733,3.04E-78,9.5,759
Q20430,mrpl-14,0.522053325,-0.170437869,-0.15885403,-0.284158746,-0.242206149,2.19E-75,44.1,179
Q20432,scpl-2,NA,NA,NA,NA,0.07099683,2.75E-48,9.8,246
Q20442;Q20440;C7FZT8,gei-1,NA,NA,NA,NA,NA,2.95E-06,2.7,1334
Q20446,,NA,NA,NA,NA,NA,1.89E-07,10.9,468
Q20447,,0.269094895,0.061601281,0.112989512,-0.117163075,0.713213458,3.89E-21,10.1,702
Q20448,ztf-7,0.015403359,0.020120988,0.197649595,0.332371239,0.285055563,2.91E-108,28.2,614
Q7YTV3;Q8I4I7;Q20453,,NA,NA,NA,NA,NA,3.52E-07,1.8,779
Q20456;D3YT14;D3YT13;C6KRJ0;B6VQ62,hum-4,0.030133015,-0.616734085,-0.836974394,-0.986520157,-0.910962861,3.26E-213,16.6,2581
Q20471-2;Q20471-5;Q20471-1;Q20471-4;Q20471,kin-20,-0.475811237,-0.64791311,NA,-1.110697317,NA,3.55E-08,7.1,297
Q20476,,-0.047817548,-0.512580879,-0.409472404,-0.752834209,-0.921207797,1.59E-190,74.7,178
Q20483,tag-257,NA,-0.175045486,NA,NA,-0.399553938,3.15E-38,15.4,570
Q20487,,NA,NA,NA,-0.464250034,NA,1.30E-21,5.2,2018
Q20489,lact-1,NA,0.835960358,0.814767746,0.686266559,0.073317361,2.93E-85,38.2,393
Q20496,rhi-1,-0.910272154,-0.141432791,0.159218552,0.216769668,0.3634937,3.00E-106,65.4,191
Q20497,dpy-22,-0.31103803,NA,-0.711671103,-0.561790462,-0.549915554,3.91E-28,2.5,3498
Q20500,,-0.428249611,-0.460585313,0.226408699,0.592157822,0.663739467,7.20E-43,12.7,1071
Q20502,F47B10.2,0.401958818,1.129102691,0.249925225,-0.061845307,0.048636012,2.02E-125,28.4,677
Q20505,,NA,NA,NA,NA,NA,1.40E-07,11.7,120
Q20507,acbp-3,0.634374645,-1.052694111,-2.035518343,-2.021515261,-2.372144185,7.17E-77,82.8,116
