Uniprot ID,Gene Name,Log2 Ratio L/H AgWTD01.1,Log2 Ratio L/H AgWTD01.2,Log2 Ratio L/H AgWTD01.3,Log2 Ratio L/H AgWTD01.4,Log2 Ratio L/H AgWTD12.1,Log2 Ratio L/H AgWTD12.2,Log2 Ratio L/H AgWTD12.3,Log2 Ratio L/H AgWTD12.4,log abs.LFQ AgWTD01.1,log abs.LFQ AgWTD01.2,log abs.LFQ AgWTD01.3,log abs.LFQ AgWTD01.4,log abs.LFQ AgWTD12.1,log abs.LFQ AgWTD12.2,log abs.LFQ AgWTD12.3,log abs.LFQ AgWTD12.4,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgWTD01.1 Corrected,log abs.LFQ AgWTD01.2 Corrected,log abs.LFQ AgWTD01.3 Corrected,log abs.LFQ AgWTD01.4 Corrected,log abs.LFQ AgWTD12.1 Corrected,log abs.LFQ AgWTD12.2 Corrected,log abs.LFQ AgWTD12.3 Corrected,log abs.LFQ AgWTD12.4 Corrected
Q20644,,0.054122659,-0.114900024,-0.456595905,NA,0.695325423,0.661296059,0.013421594,0.671209482,5.351022853,4.920540717,4.35249124,NA,5.568506797,5.430204099,4.339352049,4.59837461,8.50E-208,22,1425,4.956084594,4.620528261,4.670457024,NA,5.180667953,4.929380079,4.598279571,4.863443542
Q20646;Q20646-2,cep-1,NA,NA,NA,NA,0.784706588,NA,NA,NA,3.226316297,3.542290006,3.303973203,NA,4.906593602,NA,NA,NA,2.37E-39,10.1,644,2.831378039,3.242277551,3.621938986,NA,4.518754758,NA,NA,NA
Q20647,rpl-25.2,0.557879241,0.160491829,0.338706444,NA,0.197087166,0.16339717,0.45292533,0.323136858,7.118628415,6.881024974,6.135546068,3.949980051,5.472931886,7.053539396,6.000607587,6.093841767,2.37E-242,71.2,146,6.723690157,6.581012519,6.453511852,4.652154175,5.085093043,6.552715377,6.259535109,6.358910699
Q20655;Q95ZT1,ftt-2,-0.982655956,-2.254019511,-1.245678194,NA,NA,0.330719197,0.386524924,0.529968199,6.585359194,6.571592383,5.852967691,4.718725837,NA,7.085932446,6.534647896,6.441710842,0,70.2,248,6.190420936,6.271579928,6.170933475,5.420899961,NA,6.585108426,6.793575418,6.706779774
Q7JP52;Q20660,hsp-17,-1.813770932,-2.222124467,-2.335340328,NA,0.085756962,-0.040962548,-0.085696581,-0.141171172,6.744856027,7.162175937,5.883598983,NA,6.59216565,7.440987751,6.667406252,6.712026429,5.94E-59,45.9,148,6.349917769,6.862163481,6.201564767,NA,6.204326806,6.940163732,6.926333774,6.977095361
Q20666,vha-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32E-36,9.1,451,NA,NA,NA,NA,NA,NA,NA,NA
Q20675,,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.840375876,NA,NA,NA,4.532129871,NA,NA,0,46.7,345,NA,3.540363421,NA,NA,NA,4.031305851,NA,NA
Q8WQF1;Q20676,pccb-1,0.17722907,0.264321864,0.434539302,0.371385028,0.970638997,0.551669898,0.442183125,0.951540591,5.589793272,5.59596994,5.20183393,5.311986835,6.128366954,6.289008912,5.291657396,5.090011024,0,38.3,522,5.194855014,5.295957484,5.519799714,6.014160959,5.74052811,5.788184892,5.550584918,5.355079956
Q20677,wrt-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59E-41,19.4,454,NA,NA,NA,NA,NA,NA,NA,NA
Q20678,sec-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.337638932,4.461048092,NA,4.10335894,NA,1.02E-42,18,848,NA,NA,NA,4.039813057,4.073209248,NA,4.362286462,NA
Q20679,let-268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31E-126,33.7,730,NA,NA,NA,NA,NA,NA,NA,NA
Q20680,F52H3.2,NA,2.074912045,NA,NA,NA,NA,NA,NA,4.003288159,4.678400002,NA,NA,NA,4.294466226,NA,NA,5.84E-13,7.8,638,3.608349901,4.378387547,NA,NA,NA,3.793642207,NA,NA
Q20683,F52H3.5,0.393652533,0.58582116,0.569200909,NA,NA,0.052730335,NA,-0.368712484,6.0533858,6.188759793,5.698222375,NA,NA,5.902677211,5.157607853,5.462981657,6.14E-70,46.4,179,5.658447542,5.888747338,6.016188158,NA,NA,5.401853192,5.416535376,5.728050588
Q20684,lec-2,-1.188717409,-1.303225478,-1.261470639,-1.610463845,1.540232666,0.858357948,1.229382353,1.285811642,6.331872498,6.223236273,5.696688318,5.034588354,6.976249075,7.020071104,6.343270701,6.396704858,0,46.5,1245,5.93693424,5.923223818,6.014654102,5.736762478,6.588410232,6.519247084,6.602198223,6.661773789
Q20693,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38E-22,33.3,87,NA,NA,NA,NA,NA,NA,NA,NA
Q20696,F53B1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00028714,2.7,483,NA,NA,NA,NA,NA,NA,NA,NA
Q20697,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27E-91,39.5,342,NA,NA,NA,NA,NA,NA,NA,NA
Q20709,tra-4,0.823472966,NA,NA,NA,NA,NA,NA,NA,4.629654203,4.766702776,NA,4.539151403,NA,4.725650324,NA,NA,1.39E-15,9.8,543,4.234715945,4.466690321,NA,5.241325528,NA,4.224826305,NA,NA
Q20713,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43E-10,10.6,339,NA,NA,NA,NA,NA,NA,NA,NA
Q20716,,-0.432959407,-0.572986653,NA,NA,NA,0.221640012,0.477100581,NA,5.514481342,5.313149831,4.729909582,4.831767425,NA,5.631220476,5.019946682,4.492089577,1.05E-51,57.3,267,5.119543084,5.013137376,5.047875365,5.533941549,NA,5.130396457,5.278874204,4.757158509
Q20719,F53F4.10,-0.399444565,-0.36960607,NA,NA,NA,0.311756966,0.49153078,NA,5.722205998,5.392186753,4.673693496,NA,NA,5.953522915,5.087461966,4.568342553,2.10E-130,59.8,239,5.327267739,5.092174298,4.99165928,NA,NA,5.452698896,5.346389488,4.833411485
Q20720,,1.374224539,0.500973095,NA,NA,NA,NA,NA,NA,4.957008343,4.878010222,NA,NA,4.734431763,4.771785844,3.74390155,4.201451749,1.64E-230,54.5,543,4.562070085,4.577997767,NA,NA,4.346592919,4.270961825,4.002829073,4.466520681
Q20724,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42E-43,28.1,114,NA,NA,NA,NA,NA,NA,NA,NA
Q20728,F53F4.3,NA,NA,NA,NA,NA,NA,NA,0.793331773,NA,NA,3.799533526,NA,NA,NA,4.610127613,4.771330208,3.33E-74,54.6,229,NA,NA,4.11749931,NA,NA,NA,4.869055135,5.03639914
Q20736,apm-3,NA,NA,NA,NA,NA,NA,NA,NA,4.514547753,NA,NA,3.713624927,NA,NA,NA,4.189883163,1.18E-18,10.6,414,4.119609495,NA,NA,4.415799051,NA,NA,NA,4.454952094
Q20737,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14E-13,19.9,201,NA,NA,NA,NA,NA,NA,NA,NA
Q20738,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.71E-08,24.2,99,NA,NA,NA,NA,NA,NA,NA,NA
Q20741,bra-1,NA,-2.161275011,NA,NA,NA,0.232565542,NA,NA,5.153174379,4.848503174,4.697752274,NA,NA,5.674411004,NA,4.890476909,1.44E-09,15.8,183,4.758236121,4.548490719,5.015718058,NA,NA,5.173586985,NA,5.155545841
Q20745;Q20745-2,unc-84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92E-147,16,1111,NA,NA,NA,NA,NA,NA,NA,NA
Q20748,atad-3,-0.041803688,-0.37784561,-0.321812675,-0.216485907,0.892071144,0.829049447,0.308465835,0.589832594,5.943336202,5.758071242,5.257846502,5.221492482,6.59244325,6.116175891,5.900323424,5.706410511,0,68.9,595,5.548397944,5.458058786,5.575812285,5.923666607,6.204604407,5.615351872,6.159250946,5.971479442
Q20751,iff-2,2.038243335,1.844302571,2.107181572,0.425559359,0.5603875,0.598828298,0.673347609,0.739877967,8.171228997,8.038421446,7.505054966,6.663314505,7.554634506,7.941620738,7.316305902,7.471614378,0,88.2,161,7.776290739,7.73840899,7.82302075,7.365488629,7.166795663,7.440796719,7.575233425,7.736683309
Q20752,stc-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09E-65,29.8,450,NA,NA,NA,NA,NA,NA,NA,NA
Q20753,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.69E-43,77.8,81,NA,NA,NA,NA,NA,NA,NA,NA
Q20754,col-38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.98E-24,11.5,287,NA,NA,NA,NA,NA,NA,NA,NA
Q58AA8;Q20755,bcs-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34E-14,7.3,396,NA,NA,NA,NA,NA,NA,NA,NA
Q20757,puf-5,1.333552428,1.279598944,-0.136322654,NA,0.583052195,0.639781827,NA,NA,6.030235296,5.528029217,5.370198404,4.854979738,5.543198586,5.722024825,NA,NA,6.82E-147,33.8,553,5.635297038,5.228016761,5.688164187,5.557153863,5.155359742,5.221200806,NA,NA
Q20758,arl-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45E-60,26.7,180,NA,NA,NA,NA,NA,NA,NA,NA
Q20760,,1.400834578,0.988676121,1.191063103,NA,0.272959586,-0.277151611,-0.342440964,-0.210762894,6.41715603,6.14420046,5.674796864,NA,5.87115829,5.660628353,5.19119942,4.722642148,1.58E-140,34.7,740,6.022217772,5.844188005,5.992762648,NA,5.483319446,5.159804334,5.450126942,4.987711079
Q20762,F54D1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24E-78,9.3,1423,NA,NA,NA,NA,NA,NA,NA,NA
Q20763,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.34E-05,5.4,278,NA,NA,NA,NA,NA,NA,NA,NA
Q20769,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71E-41,20.4,186,NA,NA,NA,NA,NA,NA,NA,NA
Q20770,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97E-37,16.7,186,NA,NA,NA,NA,NA,NA,NA,NA
Q20771;Q5FC73,,NA,NA,NA,NA,1.188857826,NA,NA,NA,NA,NA,NA,NA,5.970011959,NA,NA,NA,9.67E-16,8.2,427,NA,NA,NA,NA,5.582173116,NA,NA,NA
Q20772,F54D5.7,-1.037663353,-1.572065036,-1.464459166,-1.371781871,0.62644644,0.298921199,0.482552958,0.63758061,6.179293206,5.639576128,5.266584447,5.186476031,6.784617293,6.682785662,5.291302236,5.554646616,7.97E-45,15.9,409,5.784354947,5.339563673,5.584550231,5.888650155,6.396778449,6.181961643,5.550229758,5.819715548
Q20774,dnj-13,0.010018153,-0.514097005,NA,-0.449217992,-0.285106251,0.03017721,NA,-0.139862368,6.433689846,5.998167761,NA,5.44015313,6.519827994,6.409966919,5.299485507,5.51096034,1.67E-53,24.8,331,6.038751588,5.698155306,NA,6.142327254,6.13198915,5.9091429,5.558413029,5.776029272
Q20778,dpy-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49E-23,4.8,352,NA,NA,NA,NA,NA,NA,NA,NA
Q20779,tag-174,0.634061156,-0.287590496,NA,NA,0.611116152,0.336081605,0.595140464,0.4029504,6.451310446,6.137702167,5.073351702,NA,5.425501615,6.479719235,5.751833169,5.413232686,3.13E-115,67.2,128,6.056372188,5.837689712,5.391317486,NA,5.037662771,5.978895216,6.010760691,5.678301618
Q20780;Q8IG19,alh-1,-0.698129557,-0.718175283,-0.755229434,-0.499271883,1.090403524,0.828588186,0.895099793,1.029794232,6.545232872,6.404166374,5.844408826,5.70808081,7.053501002,6.921004592,6.104760167,6.224248101,0,59.4,510,6.150294614,6.104153919,6.16237461,6.410254935,6.665662159,6.420180573,6.363687689,6.489317033
Q20784,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0006456,5,260,NA,NA,NA,NA,NA,NA,NA,NA
Q20789,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83E-36,16.8,322,NA,NA,NA,NA,NA,NA,NA,NA
Q20790,,-2.215119425,-2.391025289,-1.499118777,NA,NA,0.595205847,0.444871006,0.725851671,5.727850196,5.70869278,4.681765693,NA,NA,6.84568704,5.776853669,5.848546262,9.15E-95,39.7,189,5.332911937,5.408680325,4.999731477,NA,NA,6.344863021,6.035781191,6.113615194
Q20793,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.250175948,5.605423572,NA,NA,1.39E-16,5.5,311,NA,NA,NA,NA,4.862337105,5.104599553,NA,NA
Q20796,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97E-72,34.4,186,NA,NA,NA,NA,NA,NA,NA,NA
Q20797,syx-5,NA,NA,NA,NA,NA,NA,NA,NA,4.946550511,NA,NA,NA,4.948774727,NA,NA,NA,1.05E-74,20.8,413,4.551612252,NA,NA,NA,4.560935884,NA,NA,NA
Q20798,sel-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00076093,1.8,610,NA,NA,NA,NA,NA,NA,NA,NA
Q20802,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.64E-19,4.8,395,NA,NA,NA,NA,NA,NA,NA,NA
Q21184;Q20805,col-155;col-154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.220604888,NA,4.38E-09,6,299,NA,NA,NA,NA,NA,NA,6.47953241,NA
Q20815,ssp-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73E-58,87.9,107,NA,NA,NA,NA,NA,NA,NA,NA
Q20818,capg-2,-1.815411477,-1.967057911,-0.615133758,NA,0.978889877,0.310539803,0.548754594,0.17351456,4.554174076,4.75069349,3.895925064,NA,5.879457163,5.845004967,5.189686783,5.028042295,2.26E-159,24.9,1010,4.159235818,4.450681035,4.213890848,NA,5.49161832,5.344180948,5.448614305,5.293111227
Q20819,tsfm-1,-1.13389227,-1.251567621,NA,NA,0.722634108,0.491936505,NA,0.634486621,6.130944568,5.696592259,4.8692728,NA,6.75722896,6.681014983,4.968921691,5.444481995,2.54E-193,47.5,316,5.73600631,5.396579804,5.187238583,NA,6.369390117,6.180190964,5.227849213,5.709550926
Q20822,F55C5.8,1.271705038,0.872657269,0.795208214,1.048740467,0.854700792,0.677771856,0.683135986,0.639017759,6.413249457,6.253289532,5.559439777,5.111296126,6.202733458,6.218220304,5.223158342,5.380826057,0,58.5,622,6.018311199,5.953277077,5.877405561,5.813470251,5.814894614,5.717396285,5.482085865,5.645894988
Q20826,glit-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00029363,1.5,730,NA,NA,NA,NA,NA,NA,NA,NA
Q20829,aman-1,NA,NA,NA,NA,NA,NA,NA,NA,4.164025524,NA,NA,NA,NA,NA,NA,NA,2.19E-230,35.8,955,3.769087266,NA,NA,NA,NA,NA,NA,NA
Q20840,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13E-62,18.4,331,NA,NA,NA,NA,NA,NA,NA,NA
Q20846,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.62E-19,6,350,NA,NA,NA,NA,NA,NA,NA,NA
Q20847,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.237141427,NA,NA,3.02E-12,14.2,309,NA,NA,NA,NA,NA,4.736317408,NA,NA
Q20848,F55G1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45E-79,36.5,299,NA,NA,NA,NA,NA,NA,NA,NA
Q20849,rod-1,-0.201759307,-0.838346737,-0.729879012,-0.326537348,0.578908687,0.876492714,1.259253732,0.644713044,5.740638971,5.645530338,4.761100539,3.868491615,6.234340088,6.206825876,5.549873432,5.108463541,7.38E-199,20.1,2049,5.345700713,5.345517883,5.079066323,4.57066574,5.846501244,5.706001857,5.808800955,5.373532473
Q20854,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65E-08,2.6,615,NA,NA,NA,NA,NA,NA,NA,NA
Q20864,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.78E-12,6.3,446,NA,NA,NA,NA,NA,NA,NA,NA
Q20865,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.93E-146,25.7,237,NA,NA,NA,NA,NA,NA,NA,NA
Q20871,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.260453018,NA,NA,4.52914792,4.509511662,5.94E-40,18.8,437,NA,NA,NA,4.962627142,NA,NA,4.788075442,4.774580594
Q20874,,1.233277641,NA,1.409239912,NA,0.484630679,0.385695345,NA,NA,5.830896479,5.364982262,5.161757195,4.380337892,5.207203359,5.631423474,NA,4.347408084,1.03E-56,19.1,451,5.435958221,5.064969806,5.479722979,5.082512017,4.819364516,5.130599455,NA,4.612477015
Q20875,F56D2.6,NA,NA,NA,NA,0.332934455,NA,NA,NA,4.294642554,4.454402721,3.791894067,NA,5.60442047,5.089587219,4.255513713,NA,1.95E-179,42.1,739,3.899704295,4.154390266,4.109859851,NA,5.216581626,4.588763199,4.514441235,NA
Q20877,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41E-146,11.3,441,NA,NA,NA,NA,NA,NA,NA,NA
Q20881,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31E-91,28.7,449,NA,NA,NA,NA,NA,NA,NA,NA
Q20883,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.56E-26,17.6,449,NA,NA,NA,NA,NA,NA,NA,NA
Q20893,cdo-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68E-21,35.8,190,NA,NA,NA,NA,NA,NA,NA,NA
Q20898,ifet-1,-0.383828687,-0.244887059,-0.537942091,-0.575118667,0.704629612,0.670497477,0.641266173,0.54229015,6.443356879,6.199233931,5.183554534,5.15081782,6.788316883,6.795344637,5.722938151,5.578226491,0,57.3,761,6.048418621,5.899221475,5.501520317,5.852991944,6.400478039,6.294520617,5.981865673,5.843295423
Q20909,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00E-06,35.1,57,NA,NA,NA,NA,NA,NA,NA,NA
Q20911,ZC116.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.118231648,NA,NA,5.02E-27,2.1,4047,NA,NA,NA,NA,NA,2.617407629,NA,NA
Q20921;Q20922,col-160;col-159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14E-07,8.5,317,NA,NA,NA,NA,NA,NA,NA,NA
Q20924,sun-1,NA,-2.202950503,NA,NA,1.135078949,NA,0.936331399,NA,NA,4.768867396,3.540804811,NA,5.87761895,5.422064298,4.534584488,NA,4.73E-53,28.1,473,NA,4.46885494,3.858770595,NA,5.489780106,4.921240279,4.793512011,NA
Q20930,mig-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00039439,2.2,509,NA,NA,NA,NA,NA,NA,NA,NA
Q20932,byn-1,NA,NA,NA,NA,NA,NA,NA,NA,5.099473456,NA,4.418384164,NA,NA,NA,NA,NA,3.02E-138,35.4,449,4.704535198,NA,4.736349948,NA,NA,NA,NA,NA
Q20935,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.960132914,NA,NA,NA,1.62E-195,33.1,363,NA,NA,NA,NA,4.572294071,NA,NA,NA
Q20936,abu-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.60E-100,25.9,370,NA,NA,NA,NA,NA,NA,NA,NA
Q20937,let-711,-0.340049473,-0.868370697,-0.429107082,0.009684059,1.380333454,0.763856426,0.672887529,0.359878873,5.104316365,5.358601016,4.896096119,4.477887831,6.148077977,6.05219358,5.482659241,5.305824106,0,25.4,2527,4.709378106,5.058588561,5.214061903,5.180061956,5.760239133,5.551369561,5.741586763,5.570893038
Q20938-2;Q20938,rpn-6.1,0.211999262,-0.611738957,NA,NA,0.86769955,0.609706517,0.954165653,0.84598719,6.411888952,6.105442055,3.91227521,4.965516838,6.815697262,6.61436984,5.360100909,5.472741826,4.75E-258,49.5,420,6.016950694,5.8054296,4.230240994,5.667690963,6.427858419,6.11354582,5.619028431,5.737810758
Q20939,F57B9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.84E-59,53.1,226,NA,NA,NA,NA,NA,NA,NA,NA
Q20940,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89E-05,4,556,NA,NA,NA,NA,NA,NA,NA,NA
Q20943,mrp-2,-0.401848875,-0.892118977,NA,NA,NA,NA,NA,NA,4.745590015,4.504769804,NA,NA,5.207257259,4.753774505,NA,NA,6.64E-91,15.6,1525,4.350651757,4.204757349,NA,NA,4.819418415,4.252950485,NA,NA
Q20947,bet-2,NA,-1.59344939,NA,NA,0.453201826,-0.09396575,NA,NA,NA,4.642118134,3.75185624,NA,5.33090056,5.055913224,4.086822357,4.063933524,3.85E-139,27.5,1209,NA,4.342105679,4.069822023,NA,4.943061716,4.555089205,4.345749879,4.329002456
Q20950,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.08E-141,45.3,351,NA,NA,NA,NA,NA,NA,NA,NA
Q20959,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78E-15,32,278,NA,NA,NA,NA,NA,NA,NA,NA
Q20964;O61518,lys-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.87E-151,44.9,214,NA,NA,NA,NA,NA,NA,NA,NA
Q20965,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.987858349,4.794334657,NA,NA,1.12E-33,19,410,NA,NA,NA,NA,4.600019505,4.293510638,NA,NA
Q20966,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.80E-31,17.8,371,NA,NA,NA,NA,NA,NA,NA,NA
Q20967,lys-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31E-19,8.8,215,NA,NA,NA,NA,NA,NA,NA,NA
Q20969,,0.59331096,NA,NA,NA,-0.062121712,NA,NA,NA,5.435780682,4.866818803,4.407951471,4.457139785,5.332882627,4.717420837,NA,NA,3.43E-62,21.1,601,5.040842424,4.566806348,4.725917255,5.159313909,4.945043783,4.216596817,NA,NA
Q20970;D3YT55,mrs-1;mars-1,-1.432959407,-1.707348087,-1.687598239,-1.447155979,0.793456793,0.504468557,0.474352036,0.726209622,6.611946238,6.222560409,5.701248406,5.457442841,7.232792884,7.175105741,6.311944485,6.400952228,0,51.4,917,6.21700798,5.922547954,6.01921419,6.159616965,6.844954041,6.674281722,6.570872007,6.66602116
Q20974,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32E-188,60,423,NA,NA,NA,NA,NA,NA,NA,NA
Q20977,stat-b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.48E-26,10.1,567,NA,NA,NA,NA,NA,NA,NA,NA
Q20988,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67E-07,9.9,314,NA,NA,NA,NA,NA,NA,NA,NA
Q20990,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97E-114,51.6,322,NA,NA,NA,NA,NA,NA,NA,NA
Q20992,,NA,-1.527770989,NA,NA,1.565118281,1.651812914,NA,1.474492346,4.242864296,4.547122159,NA,NA,5.652449416,5.375755035,4.444232221,4.927893665,5.45E-108,23.5,667,3.847926038,4.247109703,NA,NA,5.264610572,4.874931015,4.703159743,5.192962597
Q21000,myo-5,0.60953041,0.472669382,NA,NA,1.704676637,1.911207098,2.176837618,NA,4.51296441,4.39038748,NA,NA,5.305415864,5.049528122,4.192009593,3.83321088,0,49.2,1974,4.118026152,4.090375025,NA,NA,4.91757702,4.548704103,4.450937115,4.098279812
Q21004,amph-1,NA,NA,NA,NA,NA,NA,NA,NA,4.292344694,4.432985316,NA,3.755684334,4.726425624,5.114277297,NA,4.045322979,5.75E-185,39.3,461,3.897406436,4.132972861,NA,4.457858458,4.338586781,4.613453277,NA,4.31039191
Q21012,F58H1.3,NA,NA,NA,NA,NA,NA,NA,NA,4.99992182,4.330028014,3.876587296,NA,NA,5.123230777,4.261358046,NA,5.13E-100,50.8,248,4.604983562,4.030015558,4.194553079,NA,NA,4.622406757,4.520285568,NA
Q21017,kin-29,1.470688771,0.669762872,NA,NA,NA,0.476518335,0.417405461,0.457375441,5.251492215,5.368082244,NA,NA,NA,5.097430854,4.850603355,4.72822388,1.07E-54,10.8,822,4.856553956,5.068069789,NA,NA,NA,4.596606835,5.109530877,4.993292812
Q21018,cri-3,0.111383373,-0.056722242,NA,-0.698663,NA,0.17900825,0.220916818,0.112615106,6.205204364,5.966165207,5.607497914,5.688837896,NA,6.084254459,5.975160577,6.017409009,8.58E-66,29.7,236,5.810266106,5.666152752,5.925463698,6.391012021,NA,5.58343044,6.234088099,6.28247794
Q21019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.68E-06,28.5,123,NA,NA,NA,NA,NA,NA,NA,NA
Q21021;Q86G90,npp-9,-1.06798283,-1.517477278,-2.227925867,-1.395666082,0.779595745,0.576109929,0.253721635,0.770855105,6.209622235,5.772725002,5.403172015,5.385677757,6.940561307,6.709914139,5.947311161,5.871899701,0,73.7,860,5.814683976,5.472712547,5.721137799,6.087851881,6.552722463,6.20909012,6.206238683,6.136968633
Q86MP4;Q21024,rnh-1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07E-65,61.7,154,NA,NA,NA,NA,NA,NA,NA,NA
