Uniprot ID,Gene Name,Log2 Ratio L/H AgProp.Total1,Log2 Ratio L/H AgProp.Insoluble1,Log2 Ratio L/H AgProp.Soluble1,Log2 Ratio L/H AgProp.Total2,Log2 Ratio L/H AgProp.Insoluble2,Log2 Ratio L/H AgProp.Soluble2,Log2 Ratio L/H AgProp.Total3,Log2 Ratio L/H AgProp.Insoluble3,Log2 Ratio L/H AgProp.Soluble3,log abs.LFQ AgProp.Total1,log abs.LFQ AgProp.Insoluble1,log abs.LFQ AgProp.Soluble1,log abs.LFQ AgProp.Total2,log abs.LFQ AgProp.Insoluble2,log abs.LFQ AgProp.Soluble2,log abs.LFQ AgProp.Total3,log abs.LFQ AgProp.Insoluble3,log abs.LFQ AgProp.Soluble3,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgProp.Total1 Corrected,log abs.LFQ AgProp.Insoluble1 Corrected,log abs.LFQ AgProp.Soluble1 Corrected,log abs.LFQ AgProp.Total2 Corrected,log abs.LFQ AgProp.Insoluble2 Corrected,log abs.LFQ AgProp.Soluble2 Corrected,log abs.LFQ AgProp.Total3 Corrected,log abs.LFQ AgProp.Insoluble3 Corrected,log abs.LFQ AgProp.Soluble3 Corrected,log2 Aggregation Propensity 1,log2 Aggregation Propensity 2,log2 Aggregation Propensity 3,log2 Median Aggregation Propensity,Median Aggregation Propensity Percentage
P50437,C28C12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13E-11,15.9,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50444,R74.6,NA,-1.791439026,NA,NA,NA,NA,NA,NA,0.290691717,NA,5.231100342,6.091033516,5.840557727,NA,NA,NA,NA,6.004622266,1.52E-47,27.8,381,NA,5.546526943,5.968567266,6.062320176,NA,NA,NA,NA,5.925073474,NA,NA,NA,NA,NA
P50464,unc-97,0.440478819,NA,-0.00028851,0.133052469,-1.881703769,NA,0.404362674,-1.675725619,NA,5.612232695,4.881322417,5.995744851,6.091244766,5.883139721,5.117602692,5.629246453,5.687675634,5.614116471,1.50E-85,62.4,348,5.572567943,5.196749018,5.873278601,6.313007215,6.115127023,5.226961867,5.656567878,5.997052885,5.534567679,NA,-2.014756239,-2.080088293,-2.047422266,24.19159394
P50488;Q8ITX8,daf-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95E-31,9.4,744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P50880;G5EEC0;G5ECE5,rpl-3,0.502362089,-1.797262055,-0.561008354,1.28912195,-1.236339539,0.363066864,0.383040129,-1.651775011,-0.638768944,7.985583636,7.561370593,7.905428868,8.101368963,7.789331343,8.012921546,8.007619775,7.683795123,7.776991585,0,68.8,401,7.945918884,7.876797194,7.782962618,8.323131412,8.021318645,8.122280721,8.034941199,7.993172375,7.697442793,-2.299624144,-2.525461489,-2.03481514,-2.299624144,20.31160087
P51403,rps-2,0.55592667,-3.014301727,0.314302003,0.924535826,-3.154955791,0.994413175,0.273221087,-2.999729469,0.130602333,8.58805871,7.012153208,8.507963758,8.236562452,7.164768585,8.46766729,8.354012346,7.178256037,8.438637266,0,72.8,272,8.548393958,7.327579809,8.385497507,8.458324901,7.396755887,8.577026466,8.38133377,7.487633289,8.359088474,-3.570228396,-4.079491617,-3.272950556,-3.570228396,8.418876939
P51404,rps-13,0.275454497,-1.564378169,-0.047259175,0.85754735,-1.075395714,0.704958817,0.043378279,NA,-0.241352086,8.12567641,6.112241152,8.137227476,8.162922686,6.546749924,8.138334282,7.979862374,5.248424654,8.067182486,1.13E-158,80.8,151,8.086011658,6.427667753,8.014761226,8.384685135,6.778737226,8.247693458,8.007183798,5.557801906,7.987633694,-1.839832665,-1.932943064,NA,-1.886387865,27.04834326
P51485,arr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.896177933,NA,8.96E-81,22.5,435,NA,NA,NA,NA,NA,NA,NA,4.205555185,NA,NA,NA,NA,NA,NA
P51559;P51559-2;P51559-5;P51559-3;P51559-4,bli-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74E-68,8,943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P51875,goa-1,0.291892241,-3.335854801,0.184244246,0.112412344,-3.525818322,-0.030971642,0.490821037,-3.618473603,0.385205363,7.119882458,5.66505501,7.37977673,7.088596728,5.688820356,7.152685756,7.257846502,5.520596395,7.330393479,7.46E-142,43.8,354,7.080217706,5.980481611,7.25731048,7.310359177,5.920807657,7.262044932,7.285167926,5.829973647,7.250844687,-3.627747042,-3.638230666,-4.10929464,-3.638230666,8.031255426
P52009,cyn-1,0.741854988,-3.232415171,0.659540276,0.436939517,-4.047102094,0.365648363,0.899964279,-1.898595342,0.853996549,8.051152522,6.738271193,7.782902406,7.297848018,6.523474648,7.475206143,7.828363393,6.506698242,8.014142362,2.87E-122,52.6,192,8.01148777,7.053697794,7.660436156,7.519610467,6.75546195,7.584565318,7.855684817,6.816075494,7.93459357,-3.974270159,-4.484041611,-2.79855962,-3.974270159,6.362465952
P52010,cyn-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32E-204,50.6,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P52011,cyn-3,0.495288092,-4.726340792,0.297271542,0.500973095,-6.306991279,0.522861517,0.528136232,-5.135945228,0.380108127,8.390069186,6.175241095,8.494391164,7.89742914,6.153035223,8.237644258,8.252828768,6.604898202,8.483359036,0,94.2,173,8.350404434,6.490667696,8.371924914,8.119191589,6.385022524,8.347003433,8.280150193,6.914275454,8.403810244,-5.221628883,-6.807964373,-5.664081459,-5.664081459,1.972157443
P52012,cyn-4,0.609926682,-1.619694714,0.255666653,0.101365965,-2.119289768,NA,NA,-1.051720116,0.374074952,5.640660286,5.070127558,5.793762455,5.405107202,4.670892186,4.884325143,5.232640402,5.015179384,5.533263517,1.62E-193,39.4,523,5.600995534,5.385554159,5.671296205,5.626869651,4.902879488,4.993684318,5.259961827,5.324556635,5.453714725,-2.229621396,-2.220655734,NA,-2.225138565,21.38782134
P52013,cyn-5,0.480337331,-3.813422076,0.265448611,0.604213292,-5.910037046,0.643360349,0.402416387,-6.314333994,0.379920381,8.213730204,7.06797531,8.256982186,8.057133367,6.695876064,8.110353983,8.143857576,6.173455325,8.279758173,0,77.9,204,8.174065452,7.383401911,8.134515936,8.278895816,6.927863365,8.219713158,8.171179,6.482832577,8.200209381,-4.293759407,-6.514250338,-6.716750381,-6.514250338,1.093994778
P52014,cyn-6,0.09340182,NA,0.039191775,NA,NA,0.246070338,-0.043064479,NA,0.197335269,7.3586961,4.972398478,7.235477945,NA,NA,6.600962011,7.108903128,4.74887155,7.032296345,4.74E-277,82.1,201,7.319031348,5.28782508,7.113011694,NA,NA,6.710321187,7.136224552,5.058248802,6.952747553,NA,NA,NA,NA,NA
P52015,cyn-7,0.427149127,-2.618262152,0.376807365,0.550105887,-3.96264156,0.41734766,0.498647483,-5.524471195,0.607572662,8.645068401,6.102942788,8.618518763,8.111094411,6.446371509,8.514574314,8.501825793,6.489743464,8.673398791,0,94.2,171,8.605403649,6.418369389,8.496052513,8.33285686,6.678358811,8.62393349,8.529147218,6.799120715,8.593849999,-3.045411279,-4.512747446,-6.023118677,-4.512747446,4.380540055
P52016-2;P52016,cyn-8,NA,NA,0.761751195,NA,NA,NA,NA,NA,NA,5.362463625,NA,5.688108229,4.885016136,NA,NA,NA,NA,NA,1.28E-43,25.3,447,5.322798873,NA,5.565641978,5.106778585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P52017;P52017-2,cyn-10,NA,NA,0.532490959,-0.126840735,NA,NA,0.063921817,NA,NA,6.259307121,5.448350109,6.461468512,6.399967766,5.350322704,NA,6.48029446,NA,6.064794811,1.35E-92,69.6,161,6.219642369,5.76377671,6.339002262,6.621730215,5.582310006,NA,6.507615885,NA,5.985246019,NA,NA,NA,NA,NA
P52018,cyn-11,0.652334344,NA,0.510066644,NA,NA,-0.335254565,NA,NA,NA,6.683119114,5.125020069,6.804595986,NA,5.47459628,6.405738978,6.462442923,5.470296748,6.374234952,5.80E-93,45.4,183,6.643454362,5.44044667,6.682129735,NA,5.706583582,6.515098153,6.489764347,5.779674,6.29468616,NA,NA,NA,NA,NA
P52057,F09E5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.939229626,NA,5.819839945,NA,NA,NA,NA,NA,NA,2.46E-218,64.8,244,5.899564874,NA,5.697373694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P52274,tba-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.788691473,NA,4.997333951,5.845501126,5.003582398,5.770866733,1.48E-60,23.7,452,NA,NA,NA,6.010453922,NA,5.106693127,5.872822551,5.312959649,5.691317941,NA,NA,NA,NA,NA
P52275,tbb-2,0.673186564,NA,0.477200992,0.227421756,NA,0.013479843,0.455672889,NA,0.504304837,8.111934276,6.282522723,8.366404277,7.989863446,NA,7.857483267,8.103085002,NA,8.209702632,0,59.1,450,8.072269524,6.597949324,8.243938027,8.211625895,NA,7.966842443,8.130406426,NA,8.13015384,NA,NA,NA,NA,NA
P52478,ubc-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31E-81,20.8,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P52554,pfd-6,0.647829066,-3.758409787,0.529072743,0.326407396,NA,0.53151052,0.507275138,-3.281416359,0.756915914,7.819372816,6.508452814,7.765392843,7.097396151,5.835981498,7.255537826,7.282939166,6.335515403,7.542364756,1.28E-63,75.4,126,7.779708064,6.823879415,7.642926593,7.3191586,6.0679688,7.364897002,7.31026059,6.644892655,7.462815964,-4.406238853,NA,-3.788691497,-4.097465175,5.841711111
P52652,T24H10.1,0.549366741,-3.600983311,0.356660965,-0.453438561,-3.771885579,0.175794266,0.096514332,-2.6830002,0.451287193,6.92720606,5.923953766,7.105578304,6.572639297,5.48904648,6.233453022,6.878412634,5.804353478,7.015233976,5.29E-202,63.3,308,6.887541308,6.239380367,6.983112054,6.794401746,5.721033782,6.342812198,6.905734058,6.11373073,6.935685184,-4.150350053,-3.318447017,-2.779514532,-3.318447017,10.02415813
Q86D21;P52709,tars-1;trs-1,0.495776244,-3.223175386,0.345912801,0.332607399,-4.113117036,0.303436346,0.561920108,-3.163708037,0.4545851,7.827808516,6.138397189,7.892478616,7.59474603,6.250160367,7.530276558,7.624034446,6.249753272,7.763188317,0,56.7,684,7.788143763,6.45382379,7.770012366,7.81650848,6.482147668,7.639635733,7.651355871,6.559130524,7.683639525,-3.718951631,-4.445724436,-3.725628145,-3.725628145,7.559171102
P52713;Q7JMI1,alh-8,0.813093821,-5.73237775,0.68940394,1.401596679,-6.510028295,1.321026692,1.021160062,-5.895472283,0.939371504,8.092545208,6.142438559,8.345628546,8.16678522,6.489910841,8.189827063,8.083466785,6.375395461,8.21029176,0,58.9,523,8.052880456,6.45786516,8.223162296,8.388547669,6.721898143,8.299186239,8.11078821,6.684772713,8.130742968,-6.545471571,-7.911624974,-6.916632345,-6.916632345,0.827725234
P52715,F13D12.6,-0.299010149,NA,NA,NA,NA,2.449217513,-0.06060083,NA,-0.195473592,6.52975108,4.351760401,6.199453479,5.927642354,4.969989593,7.283934113,6.619385546,NA,6.962383544,0,42.1,454,6.490086328,4.667187002,6.076987229,6.149404803,5.201976894,7.393293289,6.64670697,NA,6.882834752,NA,NA,NA,NA,NA
P52716,F32A5.3,NA,NA,NA,NA,NA,3.798566876,NA,NA,NA,5.600874923,NA,NA,6.510035354,NA,7.116840102,NA,NA,NA,1.57E-191,20.2,574,5.561210171,NA,NA,6.731797803,NA,7.226199278,NA,NA,NA,NA,NA,NA,NA,NA
P52717,F41C3.5,0.641446198,-6.241516075,0.577228781,0.884354108,-6.484685968,0.737061777,0.83652703,-6.365202598,0.798893132,8.625518229,6.36327302,8.665852926,8.224144432,6.810475849,8.396042345,8.50497351,6.694540927,8.642523873,4.74E-166,32,469,8.585853477,6.678699621,8.543386676,8.445906881,7.042463151,8.50540152,8.532294935,7.003918179,8.562975081,-6.882962273,-7.369040076,-7.201729629,-7.201729629,0.679302732
P52814,rpl-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01E-12,23.5,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P52819,rpl-22,0.635853436,-2.740193617,0.089850673,0.67001535,-2.798880007,0.945637712,0.450064738,-3.121695132,0.169533723,8.526972162,7.527728965,8.679881942,8.383025021,7.505892495,8.662946614,8.521739401,7.304786708,8.602537453,0,67.7,130,8.48730741,7.843155566,8.557415692,8.60478747,7.737879796,8.77230579,8.549060825,7.614163959,8.522988661,-3.376047053,-3.468895358,-3.571759869,-3.468895358,9.031470039
P52821,rps-25,0.364366322,-4.233351243,0.374318039,0.950871127,-4.307501387,0.858933488,0.245762391,-3.908908956,0.244462897,8.477237051,6.806748252,8.5060177,8.203468052,6.846356407,8.49673597,8.318021574,6.730147599,8.488367372,1.84E-140,41.9,117,8.437572299,7.122174853,8.38355145,8.425230501,7.078343709,8.606095146,8.345342998,7.039524851,8.40881858,-4.597717565,-5.258372513,-4.154671347,-4.597717565,4.129990962
P52872,dad-1,0.780041602,-3.74599022,0.58660089,NA,-3.982400408,0.874005126,NA,NA,NA,7.575695765,6.140841475,7.705453161,7.7704175,6.140212973,7.622628426,7.427063944,NA,7.464012366,4.55E-06,15,113,7.536031013,6.456268076,7.582986911,7.992179949,6.372200275,7.731987602,7.454385368,NA,7.384463574,-4.526031823,NA,NA,-4.526031823,4.340389059
P52874;Q2EEP3,clpf-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.482144386,NA,5.699534221,NA,4.671408151,NA,4.09E-86,32.7,428,NA,NA,NA,5.703906835,NA,5.808893396,NA,4.980785402,NA,NA,NA,NA,NA,NA
P52879,rer-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84E-07,13.6,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P52887,C08H9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25E-07,3.8,758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P52899;Q8I111,T05H10.6;pdha-1,0.552918097,-2.906544307,0.448922087,0.644442404,-3.645125203,0.494901754,0.583808806,-5.600240014,0.628140085,7.699074223,5.977067532,7.81372773,7.606628542,6.170001451,7.431138516,7.807068012,6.063209635,7.870988814,2.80E-295,48.6,397,7.65940947,6.292494133,7.69126148,7.828390991,6.401988753,7.540497692,7.834389436,6.372586887,7.791440022,-3.459462404,-4.289567607,-6.18404882,-4.289567607,5.11342019
P53013;Q86NF3;Q86NF4,eft-3,0.187674292,-2.300270184,-0.133168933,0.000519464,-3.423847055,-0.140255134,0.406674916,-2.803846973,0.221118603,9.040958173,8.111713775,9.083144143,9.001084381,7.959310601,9.039612382,9.217246992,8.124041945,9.10649687,0,79,463,9.001293421,8.427140376,8.960677893,9.22284683,8.191297903,9.148971558,9.244568416,8.433419197,9.026948078,-2.487944476,-3.424366518,-3.210521889,-3.210521889,10.80280682
P53014,mlc-3,0.513090021,-6.866413481,0.532616169,0.713450001,-5.671887767,0.569821796,0.667057245,-7.67030217,0.653854367,8.78327454,5.752067743,8.742944972,8.400434368,6.133968582,8.482887869,8.571953272,6.149473019,8.756095756,0,95.4,153,8.743609788,6.067494344,8.620478721,8.622196817,6.365955883,8.592247045,8.599274696,6.45885027,8.676546964,-7.379503502,-6.385337768,-8.337359415,-7.379503502,0.600548509
P53015,F31E3.4,0.128329801,-1.621383778,0.145270222,NA,NA,NA,0.22683072,NA,NA,5.372027793,3.912494407,5.013342904,NA,NA,NA,5.34849957,4.221582557,NA,3.59E-110,20.9,1131,5.332363041,4.227921008,4.890876654,NA,NA,NA,5.375820995,4.530959809,NA,-1.749713578,NA,NA,-1.749713578,29.73608087
P53016,rfc-4,0.753750025,-2.171591153,0.181885696,0.004580607,-2.58969159,-0.657457085,0.619979885,-2.195473592,0.589637185,6.534038805,5.935358587,6.714681748,6.408934959,5.545031715,6.294311881,6.808562049,5.830057759,6.87023999,1.01E-84,45.8,334,6.494374052,6.250785188,6.592215497,6.630697408,5.777019016,6.403671057,6.835883473,6.139435011,6.790691198,-2.925341178,-2.594272197,-2.815453477,-2.815453477,14.20574622
Q94053;Q21244;Q18461;P53019;P53017;Q95XU7;P53020;Q9TVW5;Q19832,msp-78;msp-63;msp-49;msp-33;msp-19;msp-38;msp-77;msp-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22E-49,61.4,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P53439,C33H5.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.15E-83,5.1,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P53489,arx-2,0.591614209,NA,0.178877594,0.836114883,-2.537743345,0.109358756,0.483097314,-2.270917595,0.310933479,6.905968485,5.790270939,7.10591874,7.21861427,6.092522721,7.120935693,7.18344068,6.242181964,7.300073495,6.57E-86,39.7,395,6.866303733,6.10569754,6.98345249,7.440376719,6.324510023,7.230294868,7.210762105,6.551559216,7.220524703,NA,-3.373858228,-2.754014909,-3.063936569,11.95812773
P53585,D1005.1,0.49956504,-2.714443359,0.271496052,1.127242146,-3.727811568,0.779174784,0.347857728,-2.78257631,0.537863897,7.345824457,5.123824285,7.159657411,6.601549395,5.844526056,6.840808431,7.125481266,5.858183966,7.099162493,0,45.3,1106,7.306159705,5.439250886,7.037191161,6.823311844,6.076513357,6.950167606,7.15280269,6.167561217,7.019613701,-3.214008399,-4.855053714,-3.130434038,-3.214008399,10.77673157
P53588,F47B10.1,0.55351084,-2.539506257,0.561920108,1.450478679,-2.892585315,1.514779287,0.776231492,-2.971368811,0.536461241,7.416107712,6.549431305,7.576433498,7.635161928,6.517504249,7.857603846,7.694964769,6.650729142,7.712683367,1.31E-257,52.4,435,7.37644296,6.864857906,7.453967248,7.856924377,6.749491551,7.966963021,7.722286193,6.960106393,7.633134575,-3.093017097,-4.343063994,-3.747600302,-3.747600302,7.444917631
P53589,C50F7.4,0.561047173,-4.074591064,0.346499673,0.320378031,-3.414135533,0.479411804,0.488005784,-3.426533138,-0.010779839,7.614749615,6.162142555,7.847220886,7.417504908,6.396393022,7.376102258,7.530161263,5.702982934,7.678636724,3.41E-184,58.1,415,7.575084863,6.477569156,7.724754636,7.639267357,6.628380324,7.485461434,7.557482688,6.012360186,7.599087932,-4.635638237,-3.734513564,-3.914538922,-3.914538922,6.631417411
P53596,C05G5.4,-0.051024003,-3.431221784,0.339564197,0.98967846,-4.397323809,0.974971206,0.540253646,-3.903616775,0.603643195,7.641553426,6.650932474,7.913766183,7.81935965,6.55452576,7.88040768,7.78976398,6.688184771,7.767645563,5.14E-186,41,322,7.601888674,6.966359075,7.791299933,8.041122099,6.786513062,7.989766856,7.817085404,6.997562023,7.688096771,-3.380197781,-5.387002269,-4.443870421,-4.443870421,4.594748096
P53703,cchl-1,NA,NA,0.878268404,1.085711031,NA,NA,NA,NA,0.566121835,6.358677085,NA,6.882228457,6.557025722,4.52348704,NA,6.194708552,NA,6.633952979,0,63.9,280,6.319012332,NA,6.759762206,6.778788172,4.755474342,NA,6.222029976,NA,6.554404187,NA,NA,NA,NA,NA
P53795,hint-1,0.545150304,-5.179152721,0.399787346,0.368942294,-5.378026019,0.397619138,0.476538409,-4.768872419,0.860451922,7.473837184,5.70142279,7.536571067,7.130301597,5.792911036,7.301333895,7.123198075,5.703842721,7.615581849,7.55E-91,67.7,130,7.434172432,6.016849391,7.414104817,7.352064047,6.024898337,7.410693071,7.1505195,6.013219973,7.536033058,-5.724303025,-5.746968314,-5.245410828,-5.724303025,1.891529353
P53806,rcn-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52E-21,37.7,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P53993,B0361.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.109274738,5.609380944,NA,5.605617453,6.010257543,5.620517235,5.93759311,5.02E-46,17,470,NA,NA,5.986808488,5.831143393,NA,5.714976629,6.037578968,5.929894487,5.858044318,NA,NA,NA,NA,NA
P54002,C14A4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23E-33,8.1,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P54073,F44G4.1,1.137901763,NA,NA,NA,NA,NA,1.483984853,NA,NA,5.815683985,4.715505313,5.822154998,5.627386342,4.925895931,NA,5.933284772,5.102044422,NA,1.95E-50,30.2,384,5.776019233,5.030931914,5.699688748,5.849148791,5.157883233,NA,5.960606197,5.411421673,NA,NA,NA,NA,NA,NA
P54137-2;P54137,nth-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45E-05,4.4,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P54216,aldo-1,0.857024625,-2.641939017,0.82161042,1.025558794,-4.426264755,1.119071597,0.918387677,-6.146410843,0.895931774,7.774122637,6.369950433,7.974672854,7.89080093,5.618888858,8.063671054,8.029383778,6.008923488,8.022552084,0,72.7,366,7.734457885,6.685377034,7.852206604,8.112563379,5.85087616,8.17303023,8.056705202,6.31830074,7.943003292,-3.498963643,-5.451823548,-7.06479852,-5.451823548,2.284744186
P54412;Q8I4K9;Q2PJ76,F17C11.9;eef-1g,0.869859865,-4.554650242,0.642842151,0.931370459,-4.908956978,0.771249022,0.732044788,-3.8623522,0.743955526,8.406710459,6.958924309,8.533962608,8.458441428,6.866475423,8.316138156,8.514972543,7.057667289,8.529122235,0,62.8,398,8.367045707,7.27435091,8.411496358,8.680203877,7.098462725,8.425497332,8.542293967,7.367044541,8.449573443,-5.424510106,-5.840327437,-4.594396987,-5.424510106,2.328411557
P54688,bcat-1,1.280369689,-0.70354372,1.162686435,2.190865478,-1.180147861,2.687334826,NA,-1.221134668,NA,6.250517586,5.647392949,6.462502815,6.872802861,5.438312952,6.722691496,5.802944674,5.649507145,5.990787128,4.83E-194,49.9,415,6.210852834,5.96281955,6.340036565,7.09456531,5.670300254,6.832050671,5.830266098,5.958884397,5.911238336,-1.983913409,-3.371013339,NA,-2.677463374,15.63159204
P54811,cdc-48.1,0.338633467,-4.211868831,0.276118206,0.062384422,-4.395199931,0.194311322,0.444380143,-4.399444565,0.286691302,8.210425542,6.465246305,8.197914303,7.713599733,6.301679594,7.944699765,8.083968198,6.25444076,8.037267095,0,72.7,809,8.17076079,6.780672906,8.075448053,7.935362182,6.533666896,8.054058941,8.111289622,6.563818012,7.957718303,-4.550502299,-4.457584353,-4.843824708,-4.550502299,4.267389779
P54812,cdc-48.2,0.358139572,-2.418432851,0.168528067,0.327728554,-3.345112464,0.227725812,0.534955427,-1.261109529,0.413845364,7.555940438,5.443222658,7.496389902,7.210719716,5.185844654,7.218561762,7.360706989,4.668276493,7.364550995,0,64.9,810,7.516275686,5.758649259,7.373923652,7.432482165,5.417831956,7.327920937,7.388028414,4.977653744,7.285002204,-2.776572423,-3.672841018,-1.796064956,-2.776572423,14.59380086
P54813,ymel-1,NA,NA,1.386128929,NA,NA,1.326371217,NA,NA,NA,NA,NA,5.979429997,5.099577061,NA,6.065617056,NA,NA,5.060206621,6.30E-206,29.6,723,NA,NA,5.856963747,5.32133951,NA,6.174976231,NA,NA,4.980657829,NA,NA,NA,NA,NA
P54815-2;P54815,mspn-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09E-207,31.3,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P54816-2;P54816;P54816-3,lex-1,0.207227922,NA,-0.374733478,-0.148869044,-2.543520629,-0.70540292,-0.017779413,-1.798174969,-1.118691953,5.921837282,4.902954149,5.815139248,5.320520159,4.79652755,5.597815807,5.995578162,5.566720477,6.096110175,5.87E-83,15.4,1289,5.88217253,5.21838075,5.692672998,5.542282608,5.028514852,5.707174982,6.022899587,5.876097729,6.016561383,NA,-2.394651586,-1.780395557,-2.087523571,23.52842132
P54871,F25B4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54E-211,39.2,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P54889;Q9BI69,alh-13,-0.687598239,NA,NA,NA,NA,NA,NA,-2.46850512,NA,5.771594829,NA,NA,4.97160052,4.669986665,5.309545003,5.125090713,4.619728632,NA,0,33.4,800,5.731930077,NA,NA,5.193362969,4.901973966,5.418904179,5.152412138,4.929105884,NA,NA,NA,NA,NA,NA
P54936;P54936-2,lin-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77E-09,4,961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P55115,nas-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04E-16,8.4,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P55155,vit-1,1.641423694,-1.966725769,1.23636747,1.928566813,-2.762391341,1.907197201,1.67134733,-3.075891977,1.649276466,7.525031843,5.896702951,7.427453649,7.099369826,6.057141783,7.155730671,7.463325498,6.088948123,7.365880918,0,73.5,1616,7.485367091,6.212129552,7.304987399,7.321132276,6.289129085,7.265089847,7.490646923,6.398325374,7.286332127,-3.608149462,-4.690958154,-4.747239307,-4.690958154,3.871514473
P55163,gex-3,0.576282003,NA,NA,NA,NA,NA,NA,NA,NA,5.772241003,4.49209422,NA,5.229988837,5.005056735,5.373279893,5.537856858,4.514427889,5.554610285,3.75E-38,6.7,1141,5.732576251,4.807520821,NA,5.451751286,5.237044037,5.482639069,5.565178283,4.823805141,5.475061493,NA,NA,NA,NA,NA
P55216,cth-2,0.28084285,NA,0.484590307,3.988550162,NA,3.798948352,0.865069389,NA,0.722919823,6.71598664,5.1116658,6.901714354,8.183212883,4.985809186,8.242839469,7.222170009,4.800343524,7.386409779,1.27E-165,42.9,392,6.676321888,5.427092401,6.779248104,8.404975332,5.217796488,8.352198644,7.249491433,5.109720776,7.306860987,NA,NA,NA,NA,NA
P55326,F13E6.1,0.403026704,-5.437993368,0.281123315,0.336118028,-3.382805568,-0.07121349,0.593572175,-4.813268142,0.542416214,8.054881055,4.916874138,8.073791643,7.534521072,5.489401813,7.868679698,7.953324696,5.007035116,8.135546068,2.46E-145,70.8,195,8.015216303,5.232300739,7.951325393,7.756283521,5.721389115,7.978038873,7.980646121,5.316412367,8.055997276,-5.841020072,-3.718923596,-5.406840317,-5.406840317,2.357104748
